"","Year","Antigua and Barbuda","Bahamas, The","Barbados","Belize","Dominica","Grenada","Guyana","Haiti","Jamaica","St. Kitts and Nevis","St. Lucia","St. Vincent and the Grenadines","Suriname","Trinidad and Tobago","Caribbean small states"
"2",1978," 4.38362792","14.17952014"," 7.92080718"," 4.87693932"," 5.75330877","10.53574580"," 5.34140213","-1.80618877"," 6.20886354","-0.05370031"," 3.90990418","10.31194071"," 6.60000000","10.01648050"," 9.77747389"
"3",1979,"  8.079745"," 26.139296","  7.517022","  7.893008","  5.147703","-18.359285","  5.602084"," -1.835696","  7.560421"," -1.060041","  7.597675","  3.792734"," -0.600000","  3.599368","  3.382217"
"4",1980," 8.161431"," 6.495282","13.436682"," 4.373065"," 2.460649","13.383182","-0.534784"," 1.733890"," 7.374688","-5.714159"," 8.440121","-2.220528","-8.800000","10.390810"," 2.442720"
"5",1981," 3.814916","-9.226405"," 1.133771","-1.899752"," 0.964621","10.829331"," 1.534187"," 1.496166","-2.852710"," 2.639448"," 1.546903"," 6.310253"," 7.100000"," 4.577209"," 4.613904"
"6",1982," -0.08401226","  6.69889776"," -0.10771043"," -4.90093848","  1.01044464","  4.12768350","  4.12426165","-13.19013449"," -3.56374522","  2.06923162","  0.54773805","  2.08634211"," -4.20000000","  3.79931807","  4.47684917"
"7",1983,"  5.3640163","  3.5970519"," -2.1431800","  0.5012531"," -2.4037089","  2.5563180","  3.6325749"," -6.7923867","  0.9081815","  1.9090784","  1.1867205","  4.9653840"," -3.9000000","-10.3003285","  2.1685961"
"8",1984,"10.1649956","14.1711486"," 1.9720650"," 3.6003741"," 0.9774339"," 4.1966468"," 3.5684652","-5.0287379"," 0.3009170","-1.5423458"," 8.8658075"," 7.2655736","-1.9000000","-5.7509062"," 6.5863390"
"9",1985," 7.64379359"," 4.82918011"," 1.01251391"," 1.09823981"," 0.07785366"," 1.42093322"," 5.97970816"," 2.39966746"," 0.60363129","-2.94363558"," 8.55006827"," 8.28776507"," 2.00000000","-4.11941955"," 6.17934628"
"10",1986,"11.4938286"," 1.7970002"," 4.5394570"," 5.1041667"," 1.3503520"," 7.0733565"," 7.1942738","-0.9006022","-0.4975048"," 1.8825882","10.8569939","14.4020193"," 0.8000000","-3.2791630"," 5.5997405"
"11",1987," 6.6263688"," 2.9845193","10.7353041"," 2.5909670"," 1.8859308"," 6.3075611"," 9.0974250"," 0.8993966","-0.7936487"," 7.8503548"," 6.5503452"," 3.9237314","-6.2000000","-4.5617785"," 0.4380049"
"12",1988," 5.2132729"," 2.3097077"," 9.7877114"," 3.5053823"," 2.2260753"," 7.8166230"," 2.9667917","-3.6935331"," 0.2004268"," 3.9743020"," 9.2253750","13.8996638"," 7.8000000","-3.9197241","14.0746945"
"13",1989," 5.2522747"," 6.7273298","13.0092211"," 3.6000000"," 4.1859982","-0.1911365"," 3.7677308","-4.9166667","-2.9134244"," 7.1733043"," 5.4797941"," 8.9810042"," 4.2000000","-0.8299142"," 1.4056108"
"14",1990," 3.0117147","-1.5962491","11.4433887","-3.3075933"," 0.9467438"," 5.4179836"," 4.0126119","-3.0674847"," 1.0381228"," 4.2005351"," 4.8772515"," 9.8907015","-4.5000000"," 1.5091678"," 4.1491868"
"15",1991," 2.176579","-4.181785","11.452880","-3.899907"," 1.381469"," 1.347765"," 1.385546"," 6.057866"," 1.880545"," 4.838239","-1.864689"," 0.375678"," 2.699999"," 3.112408"," 1.135575"
"16",1992," 1.1584752","-3.8255820","12.0375807","-5.6925208"," 2.2317506"," 2.0294208","-0.8511488"," 7.7578858","-5.3099329"," 1.9555425"," 4.2689738"," 7.9530754"," 0.4000000","10.0929795"," 6.3779406"
"17",1993," 5.2798787"," 0.3078063"," 6.2368973"," 0.7930680"," 2.9563722"," 2.1614141","-1.9588156"," 8.1751055","-5.4262960"," 9.4171026"," 6.8019494"," 0.5831998","-6.6999981","-0.6691148"," 4.2507308"
"18",1994,"  6.67670710","  3.14891562","  0.19733596","  2.01078246","  2.78608538","  0.03448148","  1.69355604","  8.53242317","-11.95062929","  1.38338980","  5.30171905","  1.59856016","  3.39999890","  3.56718061"," -1.24762336"
"19",1995,"-4.3595874"," 4.3787521"," 0.6400788"," 2.0139980"," 2.9057317"," 3.0308626"," 2.1294752"," 5.0314466"," 9.8977075"," 2.3499570"," 5.3831427"," 1.7482259"," 0.0000000"," 3.8099131"," 7.7666502"
"20",1996," 6.6044597"," 4.2235304"," 1.0273973"," 3.9764772"," 3.4643067"," 3.1042023"," 4.4382347"," 7.9555175"," 4.1407733","-0.1137312"," 5.8428380"," 2.9225880"," 1.0000012"," 7.1344775"," 1.2879120"
"21",1997," 5.4716085"," 6.8757394"," 3.5835351"," 4.7401023"," 4.0427783"," 2.1856277"," 5.0154946"," 6.1806656"," 2.7047139","-1.1404599"," 6.8239668","-0.6941301"," 5.6999977"," 7.5228546"," 3.5051509"
"22",1998," 4.7311251","-4.5035966"," 3.9270687"," 3.7284649"," 1.2022135"," 3.7742268","11.7535030","-1.6791045"," 2.1818403","-2.3345535","-0.4867458"," 6.2864712"," 2.3000017"," 8.1245640"," 4.0901949"
"23",1999," 3.7076179","12.1975183"," 8.9518668"," 0.3346554"," 5.0500701"," 0.3540790"," 6.8983624"," 2.9601518"," 2.7102480"," 1.0476739"," 3.2198864"," 2.6706035","-1.4000005"," 8.0248176"," 2.7103107"
"24",2000," 6.20343125"," 4.14923405","13.00578035"," 4.44718962"," 3.76554082"," 2.34021932"," 4.88795214","-1.36380390"," 0.87005926"," 0.87870355","10.04280842"," 0.04874855"," 2.09999887"," 6.90135959"," 1.63903190"
"25",2001,"-4.54800347"," 2.62515960"," 5.04201681","-2.36546422"," 2.04288702","-0.06384473","-2.02390004"," 2.27952166","-0.34274788"," 1.34492956"," 5.25344983","-3.40806396"," 4.20000042"," 4.16852398"," 1.74823102"
"26",2002," 1.0274420"," 2.7046710"," 5.1130435"," 0.7874016"," 3.5880753","-2.8279989"," 3.4373235"," 1.1326270"," 1.0518201"," 1.9972909"," 1.3677151"," 0.4164505"," 2.8000007"," 7.9367097"," 5.3421271"
"27",2003," 6.0765437","-1.2645263"," 9.3315685"," 2.1754808"," 5.6120064"," 6.3531371"," 9.4639734","-0.6322254"," 3.4807797"," 3.6663176","-3.9333949"," 4.2646115"," 6.2999994","14.4409895"," 6.6913367"
"28",2004," 5.7670286"," 0.8827402"," 4.6307506"," 1.4115986"," 3.9424236"," 3.0506903","-0.6474503"," 1.5633521","-1.3178568"," 1.3237251"," 3.9963467"," 7.2674089"," 8.5000002"," 7.9500515"," 4.1146988"
"29",2005," 6.4738313"," 3.3952601"," 2.1984380"," 3.9554576"," 3.6083665"," 0.6558623","13.2761883","-1.9509576"," 3.0721734"," 0.8937979"," 9.7328207","-0.4103047"," 4.5000002"," 6.2089379"," 2.4885573"
"30",2006,"12.708149"," 2.516854"," 4.585338"," 6.112713"," 6.784940"," 4.659455","-3.995328"," 5.129609"," 1.768751"," 2.899125"," 3.150381"," 6.195257"," 5.793544","13.208059"," 6.996926"
"31",2007,"9.3153832","1.4467339","3.2746955","2.0776489","3.3612179","6.3529724","6.1234509","7.1912362","4.7065299","1.4319540","0.6006023","1.6916186","5.1114878","4.7542097","3.3229686"
"32",2008,"-0.01434065","-2.32350724","-1.51991614"," 0.64009814"," 1.20188410"," 7.12105799"," 0.94754262"," 1.75522350"," 2.65803231","-0.81173670","11.17852797"," 4.94932194"," 4.14340681"," 3.39173708"," 0.40464081"
"33",2009,"-11.9626972"," -4.1758056"," -0.4523683"," -5.0177445"," -3.5366754"," -1.1695906"," -6.6132813","  3.6115085","  5.8903789"," -4.3453019"," -3.3793061"," -2.8288995","  3.0136990"," -4.3917292"," -1.3781936"
"34",2010,"-7.84059474"," 1.53838597"," 1.25634857","-2.36516470"," 1.28344867"," 0.67263440","-0.51114619"," 4.13844160","-5.65151153","-1.45714721"," 0.04397765"," 0.33043025"," 5.16882515"," 3.32322471","-4.47046794"
"35",2011,"-1.9586126"," 0.6133842","-0.1055966","-0.6877791"," 1.0536589","-0.2235507"," 0.7647736"," 5.1962516"," 5.0982135"," 1.7303763"," 1.6166073"," 4.3271302"," 5.8493677","-0.2943544","-0.6062767"
"36",2012," 3.3728662"," 3.0868792"," 3.8583510","-0.4326791"," 3.1878955","-1.0590002","-1.1548382"," 5.2763306"," 0.5024244","-0.6136360","-0.5257624","-0.1101322"," 2.6903497"," 6.6101197"," 1.1691122"
"37",2013,"-0.6008764","-2.8632939"," 4.5292621","-1.4474068"," 1.4630219","-0.9999406"," 2.3510980"," 3.6535048"," 4.3247841"," 0.5176860"," 5.7098230","-2.0042526"," 2.9334417"," 3.8438013"," 2.4624842"
"38",2014," 3.79572761"," 1.84730294"," 4.08958131","-0.08726295"," 2.13792865"," 4.75378658"," 7.34212396"," 1.68602773"," 2.88877251"," 0.68982236"," 7.58147888"," 1.32800257"," 0.25550303"," 3.32294440"," 1.14575611"
"39",2015," 3.8252931"," 0.9968008"," 3.3676333"," 2.4726199"," 0.2641863","-2.7315031"," 6.4452231"," 0.6875212"," 1.4000000"," 0.9214871"," 0.7140149"," 0.1011203","-3.4110960","-0.7556220"," 2.7852227"
"40",2016," 5.49645920","-0.06701285"," 0.11312217"," 2.53302488","-1.77265919"," 2.76364798"," 3.73960396"," 3.80791884"," 1.81246808"," 1.37522306"," 3.93000468"," 3.42867330","-4.91578647","-6.76443922"," 4.14956532"
"41",2017," 3.144638239"," 2.415312842","-1.694915254"," 0.456290513","-0.535187037","-6.618994633"," 4.438675669"," 3.734374061"," 2.510271345"," 0.997123062"," 0.007510659"," 3.387785587"," 1.567191065","-4.706998863"," 1.548128546"
"42",2018," 6.8237622"," 1.5332373"," 1.1034483","-1.0271391"," 1.2758359"," 3.5475844"," 4.3614404"," 4.4410136"," 1.6678110"," 1.8899237"," 2.0520229"," 2.8803764"," 4.9482708","-0.8709679"," 3.1753750"
"43",2019," 4.3440598","-0.7439780"," 4.5020464","-0.1311473"," 0.8268530"," 5.5024834"," 0.6765117"," 5.3526274","-1.7230970"," 0.8922917"," 4.0470635","-0.6499703"," 1.1687979"," 0.1103941"," 0.6620732"
"44",2020,"-17.502185","-23.508176","-13.402959","-13.311022"," -9.177424","-16.604912","-13.756622"," 43.479556"," -3.305505"," -9.900000","-14.530530","-24.365712","-15.975196"," -7.678331"," -3.739393"
"45",2021," 6.5548998","16.9846653","15.2211055","-0.1892729"," 5.7608812"," 6.8915774"," 4.6874782","20.0600109","-1.7982399"," 4.6000000","-0.8801009","12.2319396","-2.7296188","-1.0265402"," 0.7537348"
"46",2022," 8.458733","14.368960","12.128745"," 9.998995","12.567807"," 5.938928"," 5.800001","57.800220","-1.681984"," 4.200000"," 9.000000","15.400000"," 1.887719"," 2.480952"," 4.952993"
